idno,name,club,town,county,country,date,scale
2401,Greenwich Royal Park,DFOK,Greenwich,London,England,2024-01-07,1:5000
2402,Westerham Chart,DFOK,Westerham,Kent,England,2024-01-14,1:10000
2403,Hargate Forest,SAX,Tunbridge Wells,Kent,England,2024-01-20,1:7500
2404,Jeskyns Community Woodland and Ashenbank,DFOK,Gravesend,Kent,England,2024-01-25,1:10000
2405,Buckmore Park,DFOK,Chatham,Kent,England,2024-02-03,1:7500
2406,Redlands and Bury Hill,GO,Dorking,Surrey,England,2024-02-04,1:10000
2407,Esher Commons,SLOW,Esher,London,England,2024-02-18,1:10000
2408,Knole Park,SAX,Sevenoaks,Kent,England,2024-03-03,1:7500
2409,Kings Wood Challock,SAX,Challock,Kent,England,2024-03-09,1:10000
2410,Danson Park,DFOK,Bexleyheath,London,England,2024-03-16,1:5000
2411,Gravetye,SO,East Grinstead,Sussex,England,2024-03-17,1:10000
2412,Cobham and West Kent Downs,DFOK,Gravesend,Kent,England,2024-04-20,1:7500
2413,Capstone Country Park,SAX,Rochester,Kent,England,2024-05-04,1:7500
2414,Houghton Woods,SO,Arundel,Sussex,England,2024-05-12,1:10000
2415,Jeskyns Community Woodland and Ashenbank,DFOK,Gravesend,Kent,England,2024-05-25,1:10000
2416,Greenwich Royal Park,DFOK,Greenwich,London,England,2024-06-04,1:5000
2417,Darenth Country Park,DFOK,Dartford,Kent,England,2024-06-08,1:4000
2418,Lesnes Abbey Woods,DFOK,Abbeywood,London,England,2024-06-25,1:5000
2419,Northaw Great Wood,HH,Cuffley,Herts,England,2024-07-07,1:10000
2420,Dagnam Park and Duck Wood,HAVOC,Harold Hill,London,England,2024-09-08,1:10000
2421,Braunton Burrows,DEVON,Braunton,Devon,England,2024-09-21,1:7500
2422,Braunton Burrows,DEVON,Braunton,Devon,England,2024-09-22,1:7500
2423,Highams Park and Walthamstow Forest,CHIG,Walthamstow,London,England,2024-09-29,1:10000
2424,Hucking Estate,DFOK,Hollingbourne,Kent,England,2024-10-05,1:10000
2425,Thamesmead,DFOK,Thamesmead,London,England,2024-10-26,1:4000
2426,Weald Park,HAVOC,Brentwood,Essex,England,2024-10-27,1:10000
2427,Trosley,SAX,Meopham,Kent,England,2024-11-16,1:7500
2428,Eridge Park,SAX,Tunbridge Wells,Kent,England,2024-11-24,1:7500
2429,Priory Park,MVOC,Reigate,Surrey,England,2024-12-15,1:5000